Date,Session,Total_Signals,BUY_Signals,SELL_Signals,Total_Deals,Win,Loss,WinRate_%,PnL,End_Balance
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,419,419,0,322,188,134,58.4,92.6000,10092.60
